SaleKey,CityKey,CustomerKey,BillToCustomerKey,StockItemKey,InvoiceDateKey,DeliveryDateKey,SalespersonKey,WWIInvoiceID,Description,Package,Quantity,UnitPrice,TaxRate,TotalExcludingTax,TaxAmount,Profit,TotalIncludingTax,TotalDryItems,TotalChillerItems,LineageKey,ProductId
4807201,64853,302,202,207,2019-01-11,2019-01-12,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
4808041,64853,302,202,207,2019-01-11,2019-01-12,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
4808941,64853,302,202,207,2019-01-11,2019-01-12,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
4809781,64853,302,202,207,2019-01-11,2019-01-12,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
4809841,64853,302,202,207,2019-01-11,2019-01-12,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
4811521,64853,302,202,207,2019-01-11,2019-01-12,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
4813201,64853,302,202,207,2019-01-11,2019-01-12,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
4815361,64853,302,202,207,2019-01-11,2019-01-12,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
4817101,64853,302,202,207,2019-01-12,2019-01-13,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
4817941,64853,302,202,207,2019-01-12,2019-01-13,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
4818781,64853,302,202,207,2019-01-12,2019-01-13,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
4819681,64853,302,202,207,2019-01-12,2019-01-13,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5002201,64853,302,202,207,2019-01-30,2019-01-31,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5007121,64853,302,202,207,2019-01-31,2019-02-01,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5007181,64853,302,202,207,2019-01-31,2019-02-01,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5008081,64853,302,202,207,2019-01-31,2019-02-01,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5008981,64853,302,202,207,2019-01-31,2019-02-01,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5009761,64853,302,202,207,2019-01-31,2019-02-01,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5010601,64853,302,202,207,2019-01-31,2019-02-01,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5011501,64853,302,202,207,2019-01-31,2019-02-01,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5012401,64853,302,202,207,2019-01-31,2019-02-01,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5017261,64853,302,202,207,2019-02-01,2019-02-02,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5018221,64853,302,202,207,2019-02-01,2019-02-02,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5018281,64853,302,202,207,2019-02-01,2019-02-02,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5019181,64853,302,202,207,2019-02-01,2019-02-02,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5020021,64853,302,202,207,2019-02-01,2019-02-02,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5020861,64853,302,202,207,2019-02-01,2019-02-02,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5021761,64853,302,202,207,2019-02-01,2019-02-02,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5041681,64853,302,202,207,2019-02-03,2019-02-04,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5042581,64853,302,202,207,2019-02-03,2019-02-04,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5047441,64853,302,202,207,2019-02-03,2019-02-04,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5048281,64853,302,202,207,2019-02-04,2019-02-05,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5048341,64853,302,202,207,2019-02-04,2019-02-05,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5049241,64853,302,202,207,2019-02-04,2019-02-05,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5050201,64853,302,202,207,2019-02-04,2019-02-05,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5051041,64853,302,202,207,2019-02-04,2019-02-05,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5052781,64853,302,202,207,2019-02-04,2019-02-05,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5053621,64853,302,202,207,2019-02-04,2019-02-05,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5054401,64853,302,202,207,2019-02-04,2019-02-05,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5058481,64853,302,202,207,2019-02-05,2019-02-06,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5058541,64853,302,202,207,2019-02-05,2019-02-06,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5059441,64853,302,202,207,2019-02-05,2019-02-06,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5060221,64853,302,202,207,2019-02-05,2019-02-06,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5061001,64853,302,202,207,2019-02-05,2019-02-06,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5061961,64853,302,202,207,2019-02-05,2019-02-06,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5091781,64853,302,202,207,2019-02-08,2019-02-09,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5093461,64853,302,202,207,2019-02-08,2019-02-09,9,242,USB food flash drive - shrimp cocktail,Each,1,10.67,15.000,10.67,1.60,3.34,12.27,1,0,11,67
5041,64853,302,202,192,2018-12-20,2018-12-21,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-12-21,2018-12-22,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-12-22,2018-12-23,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-12-23,2018-12-24,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-12-24,2018-12-25,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-05-26,2018-05-27,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-05-27,2018-05-28,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-05-28,2018-05-29,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-05-29,2018-05-30,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-05-30,2018-05-31,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-05-31,2018-06-01,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-01,2018-06-02,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-02,2018-06-03,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-03,2018-06-04,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-04,2018-06-05,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-05,2018-06-06,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-06,2018-06-07,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-07,2018-06-08,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-08,2018-06-09,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-09,2018-06-10,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-10,2018-06-11,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-11,2018-06-12,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-12,2018-06-13,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-13,2018-06-14,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-14,2018-06-15,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-15,2018-06-16,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-16,2018-06-17,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-17,2018-06-18,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-18,2018-06-19,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-19,2018-06-20,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-20,2018-06-21,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-21,2018-06-22,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-22,2018-06-23,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-23,2018-06-24,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-24,2018-06-25,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-25,2018-06-26,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-26,2018-06-27,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-27,2018-06-28,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-28,2018-06-29,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-29,2018-06-30,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-06-30,2018-07-01,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-07-01,2018-07-02,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-07-02,2018-07-03,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-07-03,2018-07-04,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-07-04,2018-07-05,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-07-05,2018-07-06,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-07-06,2018-07-07,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-07-07,2018-07-08,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-07-08,2018-07-09,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-07-09,2018-07-10,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-07-10,2018-07-11,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-07-11,2018-07-12,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-07-12,2018-07-13,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-07-13,2018-07-14,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-07-14,2018-07-15,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-07-15,2018-07-16,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
5041,64853,302,202,192,2018-07-16,2018-07-17,9,242,DBA joke mug - two types of DBAs (White),Each,2,3.25,15.000,6.50,0.98,2.13,7.48,2,0,11,30
4261,64853,302,202,207,2018-04-29,2018-04-30,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4261,64853,302,202,207,2018-04-30,2018-05-01,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4261,64853,302,202,207,2018-05-01,2018-05-02,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4261,64853,302,202,207,2018-05-02,2018-05-03,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4261,64853,302,202,207,2018-05-03,2018-05-04,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4261,64853,302,202,207,2018-05-04,2018-05-05,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4261,64853,302,202,207,2018-05-05,2018-05-06,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4261,64853,302,202,207,2018-05-06,2018-05-07,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4261,64853,302,202,207,2018-05-07,2018-05-08,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4261,64853,302,202,207,2018-05-08,2018-05-09,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4261,64853,302,202,207,2018-05-09,2018-05-10,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4261,64853,302,202,207,2018-05-10,2018-05-11,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4261,64853,302,202,207,2018-05-11,2018-05-12,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4261,64853,302,202,207,2018-05-12,2018-05-13,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-01-04,2018-01-05,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-01-05,2018-01-06,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-01-06,2018-01-07,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-01-07,2018-01-08,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-01-08,2018-01-09,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-01-09,2018-01-10,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-01-10,2018-01-11,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-11-07,2018-11-08,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-11-08,2018-11-09,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-11-09,2018-11-10,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-11-10,2018-11-11,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-11-11,2018-11-12,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-11-12,2018-11-13,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-11-13,2018-11-14,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-11-14,2018-11-15,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-11-15,2018-11-16,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-11-16,2018-11-17,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-11-17,2018-11-18,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-11-18,2018-11-19,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-11-19,2018-11-20,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-11-20,2018-11-21,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-11-21,2018-11-22,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-11-22,2018-11-23,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-11-23,2018-11-24,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-11-24,2018-11-25,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-11-25,2018-11-26,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-11-26,2018-11-27,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-11-27,2018-11-28,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-11-28,2018-11-29,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-02-11,2018-02-12,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-02-12,2018-02-13,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-02-13,2018-02-14,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
4561,64853,302,202,207,2018-02-14,2018-02-15,9,242,USB food flash drive - shrimp cocktail,Each,1,8.00,15.000,8.00,1.20,2.50,9.20,1,0,11,67
